group,stack,role,depth_um,raw_mean,bg_subtracted,normalized
GelMA,GelMA deep 1,primary,0,2795.05,2641.38,1.0014
GelMA,GelMA deep 1,primary,4.8,2793.68,2640.56,1.00109
GelMA,GelMA deep 1,primary,9.6,2784.91,2631.13,0.997515
GelMA,GelMA deep 1,primary,14.4,2773.82,2620.14,0.993348
GelMA,GelMA deep 1,primary,19.2,2767.36,2613.68,0.990897
GelMA,GelMA deep 1,primary,24,2749.28,2595.83,0.984131
GelMA,GelMA deep 1,primary,28.8,2724.06,2570.17,0.974401
GelMA,GelMA deep 1,primary,33.6,2694.92,2541.02,0.963351
GelMA,GelMA deep 1,primary,38.4,2669.19,2515.01,0.953492
GelMA,GelMA deep 1,primary,43.2,2631.53,2477.54,0.939286
GelMA,GelMA deep 1,primary,48,2578.56,2423.85,0.918931
GelMA,GelMA deep 1,primary,52.8,2519.82,2364.91,0.896585
GelMA,GelMA deep 1,primary,57.6,2432.12,2277.33,0.863382
GelMA,GelMA deep 1,primary,62.4,2335.56,2180.67,0.826736
GelMA,GelMA deep 1,primary,67.2,2219.81,2064.51,0.782697
GelMA,GelMA deep 1,primary,72,2073.74,1919.03,0.727543
GelMA,GelMA deep 1,primary,76.8,1916.54,1761.72,0.667902
GelMA,GelMA deep 1,primary,81.6,1745.04,1589.97,0.602788
GelMA,GelMA deep 1,primary,86.4,1571.75,1416.9,0.537174
GelMA,GelMA deep 1,primary,91.2,1402.15,1247.37,0.472904
GelMA,GelMA deep 1,primary,96,1247.44,1092.58,0.414218
GelMA,GelMA deep 1,primary,100.8,1096.68,941.458,0.356926
GelMA,GelMA deep 1,primary,105.6,965.677,810.267,0.307188
GelMA,GelMA deep 1,primary,110.4,843.984,688.353,0.260968
GelMA,GelMA deep 1,primary,115.2,736.919,581.578,0.220488
GelMA,GelMA deep 1,primary,120,645.182,489.877,0.185722
GelMA,GelMA deep 1,primary,124.8,570.334,414.859,0.157281
GelMA,GelMA deep 1,primary,129.6,508.778,353.619,0.134064
GelMA,GelMA deep 1,primary,134.4,458.102,302.462,0.114669
GelMA,GelMA deep 1,primary,139.2,416.88,261.622,0.0991863
GelMA,GelMA deep 1,primary,144,382.068,226.429,0.0858439
GelMA,GelMA deep 1,primary,148.8,355.133,199.003,0.0754459
GelMA,GelMA deep 1,primary,153.6,331.556,175.763,0.0666352
GelMA,GelMA deep 1,primary,158.4,313.725,157.887,0.059858
GelMA,GelMA deep 1,primary,163.2,299.261,143.289,0.0543238
GelMA,GelMA deep 1,primary,168,285.576,129.727,0.0491821
GelMA,GelMA deep 1,primary,172.8,274.681,118.958,0.0450992
GelMA,GelMA deep 1,primary,177.6,266.308,110.229,0.0417902
GelMA,GelMA deep 1,primary,182.4,257.776,101.763,0.0385803
GelMA,GelMA deep 1,primary,187.2,252.076,96.0972,0.0364323
GelMA,GelMA deep 1,primary,192,247.067,91.1105,0.0345418
GelMA,GelMA deep 1,primary,196.8,242.418,86.2635,0.0327042
GelMA,GelMA deep 1,primary,201.6,236.54,80.6372,0.0305712
GelMA,GelMA deep 1,primary,206.4,233.815,78.0063,0.0295737
GelMA,GelMA deep 1,primary,211.2,230.029,74.5775,0.0282738
GelMA,GelMA deep 1,primary,216,227.187,70.9098,0.0268833
GelMA,GelMA deep 1,primary,220.8,224.349,68.3963,0.0259304
GelMA,GelMA deep 1,primary,225.6,221.382,65.2611,0.0247418
GelMA,GelMA deep 1,primary,230.4,218.736,62.5741,0.0237231
GelMA,GelMA deep 1,primary,235.2,216.627,60.864,0.0230748
GelMA,GelMA deep 1,primary,240,213.924,58.0601,0.0220117
GelMA,GelMA deep 1,primary,244.8,212.2,56.1262,0.0212785
GelMA,GelMA deep 1,primary,249.6,211.674,55.8385,0.0211695
GelMA,GelMA deep 1,primary,254.4,208.986,52.9229,0.0200641
GelMA,GelMA deep 1,primary,259.2,207.334,51.2711,0.0194379
GelMA,GelMA deep 1,primary,264,206.958,50.8945,0.0192951
GelMA,GelMA deep 1,primary,268.8,204.979,48.916,0.018545
GelMA,GelMA deep 1,primary,273.6,203.61,47.5464,0.0180258
GelMA,GelMA deep 1,primary,278.4,202.199,46.1356,0.0174909
GelMA,GelMA deep 1,primary,283.2,201.596,45.5328,0.0172624
GelMA,GelMA deep 1,primary,288,200.301,44.2374,0.0167713
GelMA,GelMA deep 1,primary,292.8,199.309,43.246,0.0163954
GelMA,GelMA deep 1,primary,297.6,197.542,41.4786,0.0157253
GelMA,GelMA deep 1,primary,302.4,196.943,40.8802,0.0154985
GelMA,GelMA deep 1,primary,307.2,195.847,39.784,0.0150829
GelMA,GelMA deep 1,primary,312,194.629,38.5657,0.014621
GelMA,GelMA deep 1,primary,316.8,195.277,39.2139,0.0148668
GelMA,GelMA deep 1,primary,321.6,193.434,37.3709,0.014168
GelMA,GelMA deep 1,primary,326.4,192.605,36.5414,0.0138536
GelMA,GelMA deep 1,primary,331.2,191.668,35.6045,0.0134984
GelMA,GelMA deep 1,primary,336,191.02,34.9563,0.0132526
GelMA,GelMA deep 1,primary,340.8,190.918,34.8544,0.013214
GelMA,GelMA deep 1,primary,345.6,189.559,33.4959,0.0126989
GelMA,GelMA deep 1,primary,350.4,188.515,32.4517,0.0123031
GelMA,GelMA deep 1,primary,355.2,187.813,31.7494,0.0120368
GelMA,GelMA deep 1,primary,360,188.039,31.9754,0.0121225
GelMA,GelMA deep 1,primary,364.8,186.693,30.6301,0.0116125
GelMA,GelMA deep 1,primary,369.6,186.401,30.3381,0.0115018
GelMA,GelMA deep 1,primary,374.4,185.742,29.6784,0.0112517
GelMA,GelMA deep 1,primary,379.2,187.835,31.7715,0.0120452
GelMA,GelMA deep 1,primary,384,185.733,29.6696,0.0112483
GelMA,GelMA deep 1,primary,388.8,184.707,28.644,0.0108595
GelMA,GelMA deep 1,primary,393.6,184.76,28.6966,0.0108795
GelMA,GelMA deep 1,primary,398.4,183.549,27.4861,0.0104205
GelMA,GelMA deep 1,primary,403.2,183.937,27.8737,0.0105675
GelMA,GelMA deep 1,primary,408,183.187,27.1237,0.0102831
GelMA,GelMA deep 1,primary,412.8,182.748,26.6848,0.0101167
GelMA,GelMA deep 1,primary,417.6,182.753,26.6894,0.0101185
GelMA,GelMA deep 1,primary,422.4,182.351,26.2875,0.00996611
GelMA,GelMA deep 1,primary,427.2,182.064,26.0009,0.00985745
GelMA,GelMA deep 1,primary,432,181.939,25.8762,0.00981017
GelMA,GelMA deep 1,primary,436.8,181.188,25.1246,0.00952524
GelMA,GelMA deep 1,primary,441.6,181.394,25.3308,0.00960342
GelMA,GelMA deep 1,primary,446.4,180.917,24.8533,0.00942238
GelMA,GelMA deep 1,primary,451.2,179.907,23.8438,0.00903965
GelMA,GelMA deep 1,primary,456,179.89,23.8263,0.00903303
GelMA,GelMA deep 1,primary,460.8,180.007,23.9436,0.00907749
GelMA,GelMA deep 1,primary,465.6,178.831,22.768,0.00863179
GelMA,GelMA deep 1,primary,470.4,178.427,22.3635,0.00847846
GelMA,GelMA deep 1,primary,475.2,178.492,22.4287,0.00850317
GelMA,GelMA deep 2,primary,0,2365.75,2212.08,0.988032
GelMA,GelMA deep 2,primary,4.8,2391.21,2238.09,0.999649
GelMA,GelMA deep 2,primary,9.6,2420.23,2266.45,1.01232
GelMA,GelMA deep 2,primary,14.4,2433.13,2279.45,1.01812
GelMA,GelMA deep 2,primary,19.2,2446.19,2292.5,1.02396
GelMA,GelMA deep 2,primary,24,2459.56,2306.11,1.03003
GelMA,GelMA deep 2,primary,28.8,2460.34,2306.45,1.03018
GelMA,GelMA deep 2,primary,33.6,2448,2294.1,1.02467
GelMA,GelMA deep 2,primary,38.4,2445.49,2291.31,1.02342
GelMA,GelMA deep 2,primary,43.2,2433.99,2280.01,1.01838
GelMA,GelMA deep 2,primary,48,2418.64,2263.93,1.01119
GelMA,GelMA deep 2,primary,52.8,2382.2,2227.3,0.994829
GelMA,GelMA deep 2,primary,57.6,2348.81,2194.02,0.979965
GelMA,GelMA deep 2,primary,62.4,2286.64,2131.75,0.952155
GelMA,GelMA deep 2,primary,67.2,2209.68,2054.38,0.917596
GelMA,GelMA deep 2,primary,72,2116.42,1961.71,0.876204
GelMA,GelMA deep 2,primary,76.8,2011.49,1856.67,0.829286
GelMA,GelMA deep 2,primary,81.6,1893.16,1738.09,0.776325
GelMA,GelMA deep 2,primary,86.4,1744.72,1589.87,0.710119
GelMA,GelMA deep 2,primary,91.2,1538.66,1383.88,0.618116
GelMA,GelMA deep 2,primary,96,1315.19,1160.33,0.518265
GelMA,GelMA deep 2,primary,100.8,1089.15,933.923,0.41714
GelMA,GelMA deep 2,primary,105.6,897.965,742.555,0.331665
GelMA,GelMA deep 2,primary,110.4,738.392,582.761,0.260292
GelMA,GelMA deep 2,primary,115.2,621.456,466.116,0.208192
GelMA,GelMA deep 2,primary,120,531.328,376.023,0.167952
GelMA,GelMA deep 2,primary,124.8,461.119,305.644,0.136517
GelMA,GelMA deep 2,primary,129.6,410.026,254.867,0.113837
GelMA,GelMA deep 2,primary,134.4,367.604,211.964,0.0946745
GelMA,GelMA deep 2,primary,139.2,336.457,181.2,0.0809337
GelMA,GelMA deep 2,primary,144,311.225,155.587,0.0694934
GelMA,GelMA deep 2,primary,148.8,288.9,132.77,0.0593022
GelMA,GelMA deep 2,primary,153.6,274.891,119.097,0.0531951
GelMA,GelMA deep 2,primary,158.4,260.464,104.626,0.0467315
GelMA,GelMA deep 2,primary,163.2,248.629,92.6577,0.0413859
GelMA,GelMA deep 2,primary,168,238.886,83.0373,0.0370889
GelMA,GelMA deep 2,primary,172.8,233.048,77.3249,0.0345374
GelMA,GelMA deep 2,primary,177.6,226.234,70.1553,0.0313351
GelMA,GelMA deep 2,primary,182.4,220.745,64.7316,0.0289126
GelMA,GelMA deep 2,primary,187.2,216.657,60.6782,0.0271021
GelMA,GelMA deep 2,primary,192,212.173,56.216,0.0251091
GelMA,GelMA deep 2,primary,196.8,208.796,52.641,0.0235123
GelMA,GelMA deep 2,primary,201.6,204.849,48.9465,0.0218621
GelMA,GelMA deep 2,primary,206.4,202.367,46.5589,0.0207957
GelMA,GelMA deep 2,primary,211.2,198.788,43.3368,0.0193565
GelMA,GelMA deep 2,primary,216,196.806,40.5287,0.0181023
GelMA,GelMA deep 2,primary,220.8,195.673,39.7201,0.0177411
GelMA,GelMA deep 2,primary,225.6,193.821,37.6997,0.0168387
GelMA,GelMA deep 2,primary,230.4,191.112,34.9505,0.0156108
GelMA,GelMA deep 2,primary,235.2,189.504,33.7403,0.0150702
GelMA,GelMA deep 2,primary,240,187.472,31.6084,0.014118
GelMA,GelMA deep 2,primary,244.8,187.103,31.0287,0.0138591
GelMA,GelMA deep 2,primary,249.6,185.416,29.5807,0.0132123
GelMA,GelMA deep 2,primary,254.4,183.392,27.3289,0.0122065
GelMA,GelMA deep 2,primary,259.2,182.628,26.5651,0.0118654
GelMA,GelMA deep 2,primary,264,182.126,26.0629,0.0116411
GelMA,GelMA deep 2,primary,268.8,180.649,24.5857,0.0109813
GelMA,GelMA deep 2,primary,273.6,180.441,24.3775,0.0108883
GelMA,GelMA deep 2,primary,278.4,178.932,22.869,0.0102145
GelMA,GelMA deep 2,primary,283.2,179.695,23.6316,0.0105551
GelMA,GelMA deep 2,primary,288,177.62,21.5569,0.00962844
GelMA,GelMA deep 2,primary,292.8,177.515,21.4517,0.00958146
GelMA,GelMA deep 2,primary,297.6,176.855,20.7913,0.00928652
GelMA,GelMA deep 2,primary,302.4,175.941,19.8776,0.00887841
GelMA,GelMA deep 2,primary,307.2,175.712,19.6483,0.00877598
GelMA,GelMA deep 2,primary,312,174.952,18.8883,0.00843652
GelMA,GelMA deep 2,primary,316.8,174.55,18.4872,0.00825737
GelMA,GelMA deep 2,primary,321.6,173.794,17.7306,0.00791943
GelMA,GelMA deep 2,primary,326.4,173.081,17.0173,0.00760083
GelMA,GelMA deep 2,primary,331.2,172.899,16.8362,0.00751994
